"Label (Grouping)","Civilian employed population 16 years and over","Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Civilian employed population 16 years and over!!Service occupations","Civilian employed population 16 years and over!!Sales and office occupations","Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
"        Estimate","25.0%","33.0%","27.8%","15.0%","26.5%","14.9%"
"        Margin of Error","±1.4","±2.3","±3.0","±2.5","±5.1","±3.7"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.4%","5.1%","5.0%","5.6%","10.7%","1.8%"
"        Margin of Error","±0.7","±1.0","±1.3","±2.1","±2.6","±1.0"
"Kings County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","1,271,697","578,155","273,679","240,971","71,344","107,548"
"        Margin of Error","±5,854","±5,027","±4,909","±4,322","±2,322","±2,553"
"    Employee of private company workers","","","","","",""
"        Estimate","64.0%","55.0%","71.0%","73.3%","72.0%","68.9%"
"        Margin of Error","±0.4","±0.5","±0.8","±0.7","±1.5","±1.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.8%","4.8%","2.0%","3.2%","4.2%","4.5%"
"        Margin of Error","±0.1","±0.2","±0.2","±0.3","±0.6","±0.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.0%","16.7%","7.4%","7.4%","3.5%","3.2%"
"        Margin of Error","±0.2","±0.4","±0.4","±0.4","±0.7","±0.5"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","14.5%","17.0%","13.2%","11.9%","9.2%","13.2%"
"        Margin of Error","±0.3","±0.4","±0.6","±0.6","±0.9","±0.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.6%","6.5%","6.4%","4.2%","11.1%","10.2%"
"        Margin of Error","±0.2","±0.2","±0.4","±0.4","±1.2","±0.8"
"Lewis County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","11,961","4,019","2,323","2,140","1,900","1,579"
"        Margin of Error","±322","±310","±268","±217","±210","±190"
"    Employee of private company workers","","","","","",""
"        Estimate","51.5%","35.1%","38.7%","64.3%","63.8%","80.1%"
"        Margin of Error","±2.6","±3.3","±5.8","±5.6","±5.7","±4.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.9%","3.6%","1.4%","4.5%","2.3%","1.5%"
"        Margin of Error","±0.7","±1.1","±1.4","±2.2","±1.5","±1.2"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.1%","16.0%","13.4%","3.6%","0.5%","3.1%"
"        Margin of Error","±1.4","±3.5","±3.4","±1.6","±0.5","±1.5"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","23.9%","30.9%","34.8%","19.4%","13.8%","8.5%"
"        Margin of Error","±2.4","±4.0","±6.2","±4.7","±3.5","±2.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","12.6%","14.4%","11.7%","8.1%","19.6%","6.8%"
"        Margin of Error","±1.5","±2.9","±3.5","±2.7","±5.0","±3.1"
"Livingston County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","28,788","10,847","5,066","5,428","3,631","3,816"
"        Margin of Error","±661","±623","±470","±443","±414","±459"
"    Employee of private company workers","","","","","",""
"        Estimate","59.0%","44.8%","52.2%","68.2%","75.8%","79.7%"
"        Margin of Error","±2.1","±3.2","±5.3","±4.2","±5.5","±4.7"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.4%","3.5%","4.4%","2.5%","3.0%","3.4%"
"        Margin of Error","±0.7","±1.2","±1.8","±1.2","±1.6","±1.8"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.3%","17.3%","7.8%","10.4%","4.4%","6.6%"
"        Margin of Error","±1.3","±2.4","±2.0","±3.8","±3.0","±2.8"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.0%","28.7%","31.3%","15.2%","7.9%","6.3%"
"        Margin of Error","±1.8","±3.0","±5.0","±2.9","±2.7","±2.7"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.3%","5.7%","4.3%","3.9%","8.9%","4.0%"
"        Margin of Error","±1.0","±1.5","±1.9","±1.6","±3.4","±3.1"
"Madison County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","31,369","11,963","6,122","6,058","3,115","4,111"
"        Margin of Error","±789","±624","±509","±505","±345","±465"
"    Employee of private company workers","","","","","",""
"        Estimate","59.8%","44.6%","56.4%","72.2%","72.5%","81.1%"
"        Margin of Error","±1.8","±2.4","±4.2","±3.7","±5.6","±5.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.3%","4.0%","3.1%","3.2%","3.7%","1.0%"
"        Margin of Error","±0.7","±1.3","±1.7","±1.3","±1.7","±0.7"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.4%","21.3%","12.2%","8.4%","6.2%","5.2%"
"        Margin of Error","±1.3","±2.3","±3.3","±1.9","±3.7","±4.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","16.2%","20.8%","17.8%","14.6%","9.1%","8.0%"
"        Margin of Error","±1.4","±2.2","±3.7","±2.9","±3.0","±3.3"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.4%","9.3%","10.5%","1.6%","8.5%","4.7%"
"        Margin of Error","±0.9","±1.7","±2.5","±0.7","±2.7","±2.6"
"Monroe County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","373,677","173,094","62,194","77,874","20,534","39,981"
"        Margin of Error","±2,943","±2,293","±2,005","±2,106","±1,037","±1,640"
"    Employee of private company workers","","","","","",""
"        Estimate","63.2%","51.7%","63.2%","76.1%","69.2%","85.1%"
"        Margin of Error","±0.6","±0.9","±1.4","±1.2","±2.8","±1.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.8%","3.4%","2.0%","2.0%","6.1%","1.1%"
"        Margin of Error","±0.2","±0.4","±0.4","±0.4","±1.6","±0.4"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","15.6%","23.3%","13.9%","9.0%","4.1%","4.1%"
"        Margin of Error","±0.5","±0.8","±1.0","±0.8","±0.9","±0.9"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","13.4%","16.5%","15.2%","9.8%","9.5%","5.9%"
"        Margin of Error","±0.4","±0.6","±1.2","±0.8","±1.6","±0.8"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.0%","5.0%","5.8%","3.1%","11.2%","3.8%"
"        Margin of Error","±0.3","±0.5","±0.7","±0.5","±1.9","±0.9"
"Montgomery County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","21,755","7,019","3,917","4,561","1,996","4,262"
"        Margin of Error","±583","±541","±399","±397","±261","±377"
"    Employee of private company workers","","","","","",""
"        Estimate","63.7%","43.6%","58.1%","74.3%","74.5%","85.4%"
"        Margin of Error","±1.9","±3.3","±4.4","±3.5","±5.3","±2.9"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.8%","4.4%","1.8%","1.9%","3.9%","1.6%"
"        Margin of Error","±0.6","±1.3","±1.2","±1.0","±1.8","±1.3"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.8%","18.7%","18.2%","7.6%","0.1%","4.7%"
"        Margin of Error","±1.4","±2.9","±4.4","±1.9","±0.2","±2.0"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.1%","28.0%","17.4%","13.4%","11.0%","5.6%"
"        Margin of Error","±1.7","±3.5","±4.0","±2.9","±4.4","±1.6"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.6%","5.3%","4.5%","2.8%","10.4%","2.7%"
"        Margin of Error","±0.8","±1.6","±1.7","±1.2","±4.5","±1.5"
"Nassau County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","703,047","342,134","110,191","152,729","44,518","53,475"
"        Margin of Error","±3,826","±3,741","±2,600","±2,979","±1,788","±1,872"
"    Employee of private company workers","","","","","",""
"        Estimate","62.8%","55.4%","60.0%","75.5%","70.7%","73.6%"
"        Margin of Error","±0.5","±0.7","±1.3","±0.8","±1.8","±1.6"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","6.0%","6.8%","2.9%","6.2%","8.4%","4.3%"
"        Margin of Error","±0.3","±0.4","±0.4","±0.5","±1.1","±0.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.0%","13.3%","7.0%","4.9%","2.2%","3.6%"
"        Margin of Error","±0.3","±0.4","±0.8","±0.4","±0.6","±0.8"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.2%","19.5%","24.4%","10.1%","11.4%","13.4%"
"        Margin of Error","±0.4","±0.6","±1.1","±0.6","±1.3","±1.3"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.9%","5.0%","5.7%","3.3%","7.3%","5.1%"
"        Margin of Error","±0.2","±0.3","±0.6","±0.3","±0.8","±0.7"
"New York County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","905,697","569,100","122,312","157,647","18,309","38,329"
"        Margin of Error","±6,464","±6,136","±3,738","±4,093","±1,269","±2,340"
"    Employee of private company workers","","","","","",""
"        Estimate","65.8%","61.0%","68.1%","77.3%","77.1%","76.2%"
"        Margin of Error","±0.6","±0.7","±1.5","±1.3","±2.7","±2.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","4.7%","5.6%","2.3%","4.0%","2.3%","2.5%"
"        Margin of Error","±0.2","±0.3","±0.5","±0.5","±1.0","±0.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.2%","17.0%","8.2%","6.9%","5.5%","3.2%"
"        Margin of Error","±0.4","±0.5","±0.8","±0.6","±1.8","±0.9"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","9.1%","9.3%","12.4%","6.6%","6.8%","8.2%"
"        Margin of Error","±0.3","±0.4","±1.1","±0.7","±2.3","±1.6"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.2%","7.1%","9.0%","5.2%","8.3%","9.9%"
"        Margin of Error","±0.3","±0.4","±1.1","±0.7","±1.7","±1.8"
"Niagara County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","100,462","35,900","16,997","23,635","8,563","15,367"
"        Margin of Error","±1,225","±1,144","±933","±1,010","±699","±854"
"    Employee of private company workers","","","","","",""
"        Estimate","68.6%","53.2%","67.9%","78.0%","71.9%","88.8%"
"        Margin of Error","±1.1","±2.0","±2.5","±1.9","±4.3","±2.1"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.2%","3.9%","1.9%","3.5%","4.1%","2.3%"
"        Margin of Error","±0.5","±1.0","±0.6","±1.1","±1.5","±1.2"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.5%","17.1%","7.9%","6.3%","2.8%","2.4%"
"        Margin of Error","±0.7","±1.4","±1.6","±1.2","±1.0","±0.9"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","14.9%","22.3%","16.4%","10.0%","12.8%","4.7%"
"        Margin of Error","±0.8","±1.6","±2.0","±1.3","±3.7","±1.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","3.8%","3.7%","6.0%","2.1%","8.3%","1.7%"
"        Margin of Error","±0.4","±0.9","±1.3","±0.6","±2.0","±0.5"
"Oneida County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","103,205","40,516","21,283","22,146","7,635","11,625"
"        Margin of Error","±1,514","±1,458","±1,061","±1,196","±567","±790"
"    Employee of private company workers","","","","","",""
"        Estimate","59.3%","45.3%","54.7%","72.4%","72.0%","83.4%"
"        Margin of Error","±1.2","±2.0","±2.5","±2.2","±3.4","±2.9"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.6%","3.1%","1.3%","3.1%","3.1%","1.5%"
"        Margin of Error","±0.4","±0.6","±0.4","±0.9","±1.4","±0.7"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.6%","19.1%","12.9%","8.2%","2.8%","4.4%"
"        Margin of Error","±0.7","±1.4","±2.0","±1.2","±0.9","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.7%","26.5%","25.0%","12.0%","11.8%","6.2%"
"        Margin of Error","±0.9","±1.4","±2.0","±1.4","±2.3","±2.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.8%","5.9%","6.2%","4.2%","10.4%","4.4%"
"        Margin of Error","±0.6","±1.1","±0.9","±1.1","±2.5","±1.5"
"Onondaga County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","224,628","98,164","37,609","50,801","14,240","23,814"
"        Margin of Error","±1,967","±2,038","±1,351","±1,551","±884","±1,004"
"    Employee of private company workers","","","","","",""
"        Estimate","62.3%","49.6%","61.6%","75.1%","66.8%","85.3%"
"        Margin of Error","±0.7","±1.3","±2.1","±1.5","±3.0","±1.9"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.2%","3.7%","2.9%","2.7%","5.5%","1.0%"
"        Margin of Error","±0.2","±0.4","±0.8","±0.5","±1.2","±0.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.2%","18.5%","10.1%","8.3%","4.2%","2.6%"
"        Margin of Error","±0.5","±1.0","±1.1","±0.9","±1.1","±0.7"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.7%","24.2%","18.8%","9.9%","12.5%","8.4%"
"        Margin of Error","±0.5","±0.9","±1.7","±1.1","±2.0","±1.4"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.7%","3.9%","6.6%","3.9%","11.0%","2.6%"
"        Margin of Error","±0.3","±0.4","±0.9","±0.7","±1.7","±0.7"
"Ontario County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","55,765","24,768","9,114","11,133","4,855","5,895"
"        Margin of Error","±979","±828","±701","±730","±480","±583"
"    Employee of private company workers","","","","","",""
"        Estimate","61.2%","47.9%","60.4%","75.9%","71.6%","82.3%"
"        Margin of Error","±1.6","±2.4","±3.7","±2.6","±4.4","±4.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.5%","3.2%","2.8%","5.6%","5.2%","0.9%"
"        Margin of Error","±0.6","±0.8","±1.2","±1.5","±2.0","±0.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.4%","20.7%","11.8%","9.0%","2.6%","2.1%"
"        Margin of Error","±1.2","±2.2","±2.8","±1.8","±1.3","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","15.7%","21.9%","16.7%","6.8%","8.9%","10.8%"
"        Margin of Error","±1.2","±2.0","±2.5","±1.7","±2.9","±3.1"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.1%","6.3%","8.3%","2.7%","11.6%","3.8%"
"        Margin of Error","±0.8","±1.0","±2.0","±0.9","±3.1","±2.4"
"Orange County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","182,658","69,105","33,891","41,167","17,124","21,371"
"        Margin of Error","±1,994","±1,806","±1,192","±1,557","±1,090","±1,183"
"    Employee of private company workers","","","","","",""
"        Estimate","62.0%","48.8%","54.1%","76.6%","73.2%","80.0%"
"        Margin of Error","±0.9","±1.4","±2.3","±1.7","±3.0","±2.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","4.1%","4.9%","3.6%","3.3%","5.4%","2.4%"
"        Margin of Error","±0.4","±0.6","±1.2","±0.8","±1.4","±0.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.6%","15.7%","8.3%","6.1%","4.2%","3.5%"
"        Margin of Error","±0.6","±1.1","±1.2","±1.1","±1.6","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.7%","26.0%","29.7%","10.6%","8.5%","10.1%"
"        Margin of Error","±0.6","±1.2","±1.9","±1.1","±1.5","±1.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.6%","4.6%","4.3%","3.4%","8.7%","4.1%"
"        Margin of Error","±0.4","±0.7","±0.8","±0.8","±1.5","±1.3"
"Orleans County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","17,328","4,988","2,985","3,626","2,677","3,052"
"        Margin of Error","±490","±416","±325","±352","±364","±392"
"    Employee of private company workers","","","","","",""
"        Estimate","64.9%","47.8%","59.7%","69.7%","68.5%","88.8%"
"        Margin of Error","±2.5","±4.9","±6.7","±5.4","±7.2","±3.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.1%","4.8%","0.3%","4.1%","4.3%","0.7%"
"        Margin of Error","±0.9","±1.9","±0.4","±1.9","±2.7","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","8.8%","16.4%","10.3%","8.4%","2.3%","1.2%"
"        Margin of Error","±1.3","±3.1","±3.9","±3.2","±1.7","±0.9"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.4%","24.7%","22.5%","16.0%","12.3%","6.6%"
"        Margin of Error","±2.0","±3.9","±5.4","±4.7","±5.5","±2.4"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.8%","6.3%","7.2%","1.8%","12.6%","2.7%"
"        Margin of Error","±1.1","±2.0","±2.4","±1.3","±5.4","±1.9"
"Oswego County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","54,919","17,997","9,772","12,133","6,288","8,729"
"        Margin of Error","±1,011","±846","±747","±822","±556","±634"
"    Employee of private company workers","","","","","",""
"        Estimate","63.8%","46.0%","56.6%","74.2%","73.5%","86.8%"
"        Margin of Error","±1.4","±2.8","±3.6","±2.9","±3.8","±2.1"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.5%","3.7%","1.6%","1.2%","4.3%","1.6%"
"        Margin of Error","±0.4","±1.0","±0.8","±0.6","±1.8","±0.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","8.9%","13.7%","12.9%","6.5%","1.7%","2.7%"
"        Margin of Error","±0.9","±1.9","±2.4","±1.8","±1.0","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.4%","29.2%","20.4%","13.2%","10.9%","6.2%"
"        Margin of Error","±1.4","±2.7","±2.8","±2.2","±2.8","±1.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.5%","7.3%","8.5%","4.8%","9.6%","2.7%"
"        Margin of Error","±0.8","±1.9","±2.0","±1.6","±2.3","±0.9"
"Otsego County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","27,118","9,903","5,382","6,066","2,863","2,904"
"        Margin of Error","±698","±546","±436","±441","±314","±340"
"    Employee of private company workers","","","","","",""
"        Estimate","53.3%","32.7%","53.3%","68.2%","61.0%","84.6%"
"        Margin of Error","±1.9","±2.7","±5.6","±3.5","±5.0","±3.9"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.9%","4.9%","2.4%","4.6%","3.9%","1.4%"
"        Margin of Error","±0.7","±1.3","±1.6","±1.9","±1.6","±0.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","16.4%","25.0%","21.1%","11.1%","3.7%","2.4%"
"        Margin of Error","±1.8","±2.7","±5.5","±2.1","±1.9","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.5%","28.5%","16.3%","12.1%","15.6%","5.2%"
"        Margin of Error","±1.5","±2.5","±2.9","±2.4","±4.1","±2.2"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.9%","8.9%","7.0%","4.0%","15.8%","6.4%"
"        Margin of Error","±1.1","±1.8","±1.8","±1.4","±4.3","±2.4"
"Putnam County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","50,491","22,846","8,775","10,382","4,637","3,851"
"        Margin of Error","±1,031","±935","±582","±618","±461","±476"
"    Employee of private company workers","","","","","",""
"        Estimate","59.9%","51.4%","56.4%","73.3%","64.6%","76.5%"
"        Margin of Error","±1.7","±2.4","±4.2","±3.4","±5.2","±4.9"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","5.1%","6.2%","2.8%","4.0%","7.1%","4.0%"
"        Margin of Error","±0.7","±1.1","±1.3","±1.6","±3.4","±2.4"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","10.4%","15.2%","8.1%","6.4%","6.6%","3.0%"
"        Margin of Error","±1.2","±2.0","±2.0","±1.7","±3.2","±2.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.1%","21.5%","24.1%","11.0%","10.2%","13.2%"
"        Margin of Error","±1.6","±2.2","±3.7","±2.6","±3.6","±3.7"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.5%","5.7%","8.6%","5.2%","11.6%","3.2%"
"        Margin of Error","±0.8","±1.2","±2.4","±1.6","±3.4","±2.3"
"Queens County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","1,164,817","427,892","273,512","234,568","97,153","131,692"
"        Margin of Error","±5,634","±5,373","±4,330","±3,849","±2,828","±3,380"
"    Employee of private company workers","","","","","",""
"        Estimate","67.3%","57.1%","72.5%","74.6%","75.5%","70.7%"
"        Margin of Error","±0.4","±0.7","±0.9","±0.8","±1.4","±1.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.6%","4.1%","2.3%","3.4%","5.0%","4.1%"
"        Margin of Error","±0.2","±0.3","±0.3","±0.3","±0.7","±0.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","8.5%","14.6%","5.7%","6.7%","2.3%","2.7%"
"        Margin of Error","±0.2","±0.5","±0.4","±0.4","±0.4","±0.4"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","14.1%","19.9%","11.8%","11.3%","7.9%","9.9%"
"        Margin of Error","±0.3","±0.5","±0.6","±0.6","±0.6","±0.7"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.4%","4.3%","7.7%","4.1%","9.4%","12.5%"
"        Margin of Error","±0.2","±0.3","±0.5","±0.4","±0.9","±0.9"
"Rensselaer County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","81,138","36,256","12,820","17,008","6,424","8,630"
"        Margin of Error","±1,255","±1,217","±899","±994","±598","±756"
"    Employee of private company workers","","","","","",""
"        Estimate","57.7%","44.9%","62.6%","63.8%","70.7%","82.7%"
"        Margin of Error","±1.2","±2.2","±3.3","±2.8","±3.8","±3.1"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.2%","4.0%","1.4%","2.8%","5.4%","1.6%"
"        Margin of Error","±0.5","±0.7","±0.6","±0.8","±2.4","±0.8"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.0%","19.5%","11.6%","9.3%","3.1%","2.4%"
"        Margin of Error","±0.9","±1.6","±2.8","±1.8","±1.4","±1.1"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.1%","26.8%","18.7%","21.2%","9.9%","8.3%"
"        Margin of Error","±1.2","±1.8","±2.7","±2.3","±2.9","±2.1"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.0%","4.7%","5.6%","2.9%","10.9%","5.0%"
"        Margin of Error","±0.6","±1.0","±1.5","±0.9","±2.7","±2.2"
"Richmond County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","224,472","96,065","45,628","44,748","18,607","19,424"
"        Margin of Error","±3,007","±2,463","±1,894","±1,701","±1,386","±1,284"
"    Employee of private company workers","","","","","",""
"        Estimate","62.6%","53.1%","64.2%","75.3%","75.4%","63.9%"
"        Margin of Error","±1.0","±1.3","±2.1","±1.6","±2.9","±3.2"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.2%","3.4%","2.2%","2.9%","4.6%","3.7%"
"        Margin of Error","±0.3","±0.5","±0.8","±0.7","±1.2","±1.2"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","8.4%","13.2%","5.7%","6.4%","1.0%","3.1%"
"        Margin of Error","±0.5","±1.0","±0.9","±1.0","±0.5","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.5%","26.2%","24.0%","11.9%","13.5%","22.7%"
"        Margin of Error","±0.8","±1.1","±1.9","±1.1","±2.4","±3.1"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.3%","4.1%","3.9%","3.5%","5.5%","6.6%"
"        Margin of Error","±0.4","±0.6","±1.1","±0.7","±1.6","±1.6"
"Rockland County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","150,398","70,139","27,189","31,349","9,373","12,348"
"        Margin of Error","±1,750","±1,586","±1,391","±1,353","±723","±1,000"
"    Employee of private company workers","","","","","",""
"        Estimate","59.4%","48.0%","58.6%","73.4%","70.9%","82.1%"
"        Margin of Error","±1.0","±1.5","±2.5","±2.1","±3.6","±3.2"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","4.8%","5.7%","2.4%","4.4%","8.5%","2.8%"
"        Margin of Error","±0.5","±0.8","±0.8","±0.7","±2.4","±1.4"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","14.4%","22.4%","10.0%","7.2%","3.5%","5.2%"
"        Margin of Error","±0.8","±1.5","±1.4","±1.1","±2.0","±1.9"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","16.4%","19.7%","21.3%","10.5%","10.6%","7.0%"
"        Margin of Error","±0.7","±1.3","±1.7","±1.5","±2.6","±2.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.0%","4.3%","7.8%","4.5%","6.6%","2.9%"
"        Margin of Error","±0.5","±0.6","±1.7","±1.0","±2.2","±1.2"
"St. Lawrence County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","44,424","16,686","9,828","8,147","4,321","5,442"
"        Margin of Error","±1,021","±780","±622","±571","±462","±530"
"    Employee of private company workers","","","","","",""
"        Estimate","49.2%","31.8%","42.1%","68.1%","62.2%","77.3%"
"        Margin of Error","±1.8","±2.2","±3.4","±3.0","±5.4","±3.8"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.4%","3.6%","2.4%","2.7%","4.5%","4.9%"
"        Margin of Error","±0.7","±1.2","±1.1","±1.6","±2.6","±2.0"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.5%","22.7%","12.6%","8.5%","2.1%","3.3%"
"        Margin of Error","±1.2","±2.3","±2.2","±1.9","±1.1","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","25.6%","33.7%","33.3%","15.9%","15.2%","9.6%"
"        Margin of Error","±1.5","±2.4","±3.5","±2.4","±3.2","±2.8"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","8.3%","8.2%","9.6%","4.9%","16.0%","4.9%"
"        Margin of Error","±1.1","±1.7","±2.4","±1.6","±3.9","±2.2"
"Saratoga County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","124,050","59,767","17,823","25,888","9,008","11,564"
"        Margin of Error","±1,455","±2,024","±1,008","±1,354","±684","±812"
"    Employee of private company workers","","","","","",""
"        Estimate","61.5%","51.9%","59.5%","73.2%","70.8%","80.7%"
"        Margin of Error","±1.2","±1.6","±2.7","±2.2","±3.2","±4.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.3%","3.8%","2.6%","2.6%","6.6%","1.2%"
"        Margin of Error","±0.4","±0.5","±1.1","±0.7","±2.1","±0.7"
